FID,geom,source
modelled_grid_original.44,"MULTILINESTRING ((888932.5242188988 1488546.9422803782, 888468.6930035492 1488546.9422803782))",gridfinder
modelled_grid_original.45,"MULTILINESTRING ((888004.8617882031 1488070.4258438176, 888468.6930035492 1488546.9422803782))",gridfinder
modelled_grid_original.46,"MULTILINESTRING ((893107.0051570409 1487117.4174429693, 892179.3427263419 1487117.4174429693, 891715.5115109956 1487593.9175656145, 890787.8490802967 1487593.9175656145, 890324.0178649471 1488070.4258438176, 889396.3554342482 1488070.4258438176, 888932.5242188988 1488546.9422803782))",gridfinder
modelled_grid_original.47,"MULTILINESTRING ((546625.0872913159 1485211.4984520066, 550799.5682294578 1489499.9996397763, 550799.5682294578 1489976.54056821, 551263.3994448073 1490453.0896662045, 551263.3994448073 1490929.6469365547))",gridfinder
modelled_grid_original.48,"MULTILINESTRING ((585586.909380636 1484735.0390651769, 586050.7405959822 1485211.4984520066, 585586.909380636 1485687.965980403, 585586.909380636 1486164.441653163, 585123.0781652865 1486640.9254730854, 585123.0781652865 1487593.9175656145, 584659.246949937 1488070.4258438176, 584659.246949937 1488546.9422803782, 583267.7533038886 1489976.54056821, 583267.7533038886 1490929.6469365547, 582340.0908731928 1491882.7860055352, 582340.0908731928 1492835.957797557, 582803.9220885391 1493312.5559717135, 581876.2596578433 1494265.7768903265, 581876.2596578433 1496172.3170872126, 582340.0908731928 1496648.9726443808, 582340.0908731928 1498078.9885798069))",gridfinder
modelled_grid_original.49,"MULTILINESTRING ((586050.7405959822 1484258.5878171157, 585586.909380636 1484735.0390651769))",gridfinder
modelled_grid_original.50,"MULTILINESTRING ((586514.5718113317 1484258.5878171157, 586050.7405959822 1484258.5878171157))",gridfinder
modelled_grid_original.51,"MULTILINESTRING ((586514.5718113317 1484258.5878171157, 587906.06545738 1485687.965980403, 587906.06545738 1486164.441653163, 588833.7278880789 1487117.4174429693, 588833.7278880789 1487593.9175656145, 590689.0527494736 1489499.9996397763, 591616.7151801726 1489499.9996397763, 593472.0400415673 1491406.2123820644, 593935.8712569168 1491406.2123820644, 594863.5336876157 1492359.3678097648, 595327.3649029651 1492359.3678097648, 598110.3521950587 1495219.030588019, 598110.3521950587 1495695.6697360266, 599038.0146257576 1496648.9726443808, 599038.0146257576 1497125.6364103332, 599965.6770564533 1498078.9885798069, 599965.6770564533 1498555.6769889365, 600429.5082718028 1499032.3736180658))",gridfinder
modelled_grid_original.52,"MULTILINESTRING ((586050.7405959822 1483782.1447050262, 586050.7405959822 1484258.5878171157))",gridfinder
modelled_grid_original.53,"MULTILINESTRING ((554046.386736901 1493789.1623350373, 555437.8803829462 1493789.1623350373, 555901.7115982957 1494265.7768903265, 559612.3613210882 1494265.7768903265, 560076.1925364377 1493789.1623350373, 560540.0237517871 1493789.1623350373, 561003.8549671365 1493312.5559717135, 561931.5173978355 1493312.5559717135, 562395.3486131818 1492835.957797557, 562859.1798285313 1492835.957797557, 563323.0110438807 1492359.3678097648, 564250.6734745797 1492359.3678097648, 564714.5046899291 1491882.7860055352, 566105.9983359743 1491882.7860055352, 566569.8295513238 1491406.2123820644, 567961.3231973721 1491406.2123820644, 571208.1417048152 1488070.4258438176, 572135.8041355141 1488070.4258438176, 572599.6353508605 1487593.9175656145, 573991.1289969089 1487593.9175656145, 574454.9602122584 1487117.4174429693, 575382.6226429573 1487117.4174429693, 575846.4538583035 1486640.9254730854, 576774.1162890025 1486640.9254730854, 577237.947504352 1486164.441653163, 577237.947504352 1485687.965980403, 577701.7787197013 1485211.4984520066, 577701.7787197013 1484735.0390651769, 579093.2723657466 1483305.7097261073, 579557.103581096 1483305.7097261073, 580020.9347964455 1482829.2828775644, 580948.5972271444 1482829.2828775644, 581412.4284424939 1483305.7097261073, 582340.0908731928 1483305.7097261073, 582803.9220885391 1483782.1447050262, 583731.5845192381 1483782.1447050262, 584195.4157345876 1484258.5878171157, 584659.246949937 1484258.5878171157, 585123.0781652865 1484735.0390651769, 585586.909380636 1484735.0390651769))",gridfinder
