FID,osm_id,power_substation,tags,geom
all_transmission_substations.3709522,564410486,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""330000;132000""}",POINT (467199.45501564007 1395534.9221756111)
all_transmission_substations.4012750,565939359,substation,{},POINT (579647.738906152 1462981.1333965408)
all_transmission_substations.4275341,655273152,substation,{},POINT (671520.9183571126 1416964.5731850378)
all_transmission_substations.4307808,449365620,substation,{},POINT (745724.9261861977 1363159.2696842572)
all_transmission_substations.4429028,567576734,substation,{},POINT (815512.2897784455 1292081.9342420937)
all_transmission_substations.4601661,565150864,substation,{},POINT (873337.0887395804 1408482.9476442398)
all_transmission_substations.4834403,565165238,substation,{},POINT (847950.9255565308 1456165.1668231885)
all_transmission_substations.4902684,565521660,substation,{},POINT (924133.8219185363 1462609.1756306994)
all_transmission_substations.4902685,565521658,substation,{},POINT (924020.1367203615 1462678.746583999)
all_transmission_substations.5000984,563720436,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""132000""}",POINT (941414.9366153632 1331316.934288931)
all_transmission_substations.5002573,395182311,substation,{},POINT (943471.9962980326 1337535.5218397034)
all_transmission_substations.5054390,395182307,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""132000""}",POINT (1040714.7959670139 1310442.2268347687)
all_transmission_substations.5076485,441898398,substation,"{""website"":""http://kedco.ng/"",""source"":""steadfast.com.ng;kanostreetsonosm.org.ng"",""addr:street"":""ATIKU ABUBAKAR ROAD"",""substation"":""transmission"",""addr:city"":""Sharada""}",POINT (948731.2966412966 1343464.8944466808)
all_transmission_substations.5138577,553583743,substation,{},POINT (956128.223208471 1348282.5814867988)
all_transmission_substations.5226013,564403854,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""132000""}",POINT (1131759.8728117966 1309954.9360073565)
all_transmission_substations.5258307,565123531,substation,{},POINT (1232512.268473852 1311912.1052885966)
all_transmission_substations.5277802,655273151,substation,{},POINT (1115944.9994735082 1399506.771334805)
all_transmission_substations.5507536,563723584,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""330000;132000""}",POINT (1339525.1885373644 1314214.8028398557)
all_transmission_substations.5540591,655273140,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""330000;132000""}",POINT (1456289.7214816674 1316169.6370884685)
all_transmission_substations.5601452,364256161,substation,{},POINT (1462725.1002159512 1329383.6374611135)
all_transmission_substations.5895121,566797796,substation,{},POINT (1533504.9838885649 1469703.060666526)
